team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
Sporting Clube de Portugal,1.8931297709923665,248,131,1.3587786259541985,2.0661764705882355,281.0,136.0,1.3602941176470589,1.979653120790301,1.3595363718006288,267.0,0.5,0.2
St. Pauli,1.09375,70,64,2.03125,0.9253731343283582,62.0,67.0,2.08955223880597,1.009561567164179,2.060401119402985,131.0,0.5,0.2
Suède,1.6455696202531647,130,79,1.3037974683544304,1.6424581005586592,294.0,179.0,1.6480446927374302,1.644013860405912,1.4759210805459304,258.0,0.5,0.2
Séville,1.9508196721311475,119,61,1.5245901639344261,1.7592592592592593,95.0,54.0,1.4259259259259258,1.8550394656952034,1.475258044930176,115.0,0.5,0.2
TSG 1899 Hoffenheim,1.635135135135135,242,148,1.7837837837837838,1.6973684210526316,258.0,152.0,1.8092105263157894,1.6662517780938835,1.7964971550497866,300.0,0.5,0.2
Torino,1.8148148148148149,147,81,1.3950617283950617,1.6097560975609757,132.0,82.0,1.7560975609756098,1.7122854561878953,1.5755796446853356,163.0,0.5,0.2
Tottenham Hotspur,3.8104395604395602,1387,364,3.6263736263736264,3.978494623655914,1480.0,372.0,3.545698924731183,3.894467092047737,3.586036275552405,736.0,0.5,0.2
Udinese Calcio,1.1875,95,80,2.0125,1.0945945945945945,81.0,74.0,1.8918918918918919,1.1410472972972974,1.9521959459459461,154.0,0.5,0.2
Ukraine,1.135135135135135,84,74,1.7162162162162162,1.1688311688311688,90.0,77.0,1.7402597402597402,1.1519831519831518,1.7282379782379782,151.0,0.5,0.2
Union Berlin,1.338235294117647,91,68,1.8823529411764706,1.467741935483871,91.0,62.0,1.8709677419354838,1.4029886148007589,1.876660341555977,130.0,0.5,0.2
Valencia,1.3333333333333333,88,66,0.9696969696969697,1.7241379310344827,100.0,58.0,1.4137931034482758,1.528735632183908,1.1917450365726228,124.0,0.5,0.2
Venise,1.3544303797468353,107,79,1.481012658227848,1.6075949367088607,127.0,79.0,1.4936708860759493,1.481012658227848,1.4873417721518987,158.0,0.5,0.2
VfB Stuttgart,1.6724137931034482,97,58,1.8275862068965518,1.6515151515151516,109.0,66.0,1.9090909090909092,1.6619644723093,1.8683385579937304,124.0,0.5,0.2
VfL Bochum,1.1944444444444444,86,72,1.6666666666666667,1.064102564102564,83.0,78.0,1.8717948717948718,1.1292735042735043,1.7692307692307692,150.0,0.5,0.2
VfL Wolfsburg,1.8823529411764706,128,68,1.3676470588235294,1.7619047619047619,111.0,63.0,1.3968253968253967,1.8221288515406162,1.382236227824463,131.0,0.5,0.2
Villarreal,6.23404255319149,1465,235,5.94468085106383,6.3842592592592595,1379.0,216.0,6.550925925925926,6.3091509062253746,6.247803388494878,451.0,0.5,0.2
Werder Bremen,1.6615384615384616,108,65,1.7384615384615385,1.5303030303030303,101.0,66.0,1.7878787878787878,1.595920745920746,1.7631701631701633,131.0,0.5,0.2
West Ham United,5.970666666666666,2239,375,6.314666666666667,6.309782608695652,2322.0,368.0,6.480978260869565,6.140224637681159,6.397822463768116,743.0,0.5,0.2
Wolverhampton Wanderers,4.93953488372093,1062,215,5.404651162790698,5.127358490566038,1087.0,212.0,5.202830188679245,5.033446687143484,5.303740675734971,427.0,0.5,0.2
Écosse,1.2777777777777777,138,108,2.2037037037037037,0.0,0.0,0.0,0.0,0.6388888888888888,1.1018518518518519,108.0,0.5,0.2
États-Unis,1.55,124,80,1.375,1.425,114.0,80.0,1.4125,1.4875,1.39375,160.0,0.5,0.2
